run, lumi, event 
276811,869,1573416727
276501,1046,1743146831
276544,45,81272169
276544,50,91888188
276363,1371,2410263912
276501,2316,3873923101
276808,545,1029125948
276655,292,553056548
276655,426,790390276
276585,56,89353446
276831,2639,4685663865
276870,197,241635390
277112,31,19685193
277094,84,143996668
276831,1031,1869483780
276543,423,802378430
276655,204,390718333
276543,843,1501985958
276315,198,316352135
276318,217,383615971
276776,816,1409978123
277076,478,809864656
277096,165,310050440
277127,125,239576904
276935,556,859353634
276948,54,109885312
277166,297,429345793
277168,1067,1962002281
277168,1183,2181699694
276870,2248,4076906248
277094,145,251821656
277194,458,724298871
276935,164,173493452
277168,1550,2824546675
277194,1074,1888483520
276384,810,1168648438
276437,1003,1810370717
276315,132,182251546
276384,560,830590371
276525,252,338809847
276525,512,795488274
276525,515,799906523
276776,399,661891611
276808,845,1634896905
277094,337,592775548
276775,425,664437893
276525,558,870829337
276437,1716,3056252338
276811,2232,3585623717
276501,496,797683350
276318,31,52230431
276458,78,99376536
276437,907,1617981022
276794,762,998802723
276437,756,1304105346
276525,1983,3423603621
276544,54,99423647
276811,1478,2537524679
276794,330,440325591
276810,194,353092836
276437,218,294604695
277096,645,1143675113
277148,359,530263480
276950,455,867314206
277096,1348,2337328219
277096,805,1445318230
277194,227,294427210
277194,273,369979970
276870,2696,4829065161
276870,436,695249855
276870,207,260686305
276870,1171,2092851993
276870,466,748856912
277094,151,263358399
277168,678,1275827614
277168,1337,2458894233
277168,1368,2512600827
277194,898,1554474650
277194,423,655324095
277127,726,1366856638
277127,239,451190133
277148,94,50492248
276831,1205,2188232166
276948,295,569937918
277070,59,104344907
277070,722,1346811626
277096,1508,2621380543
277148,186,219957157
276948,252,491758809
277069,315,469639845
277069,317,473645864
277069,363,553932922
277069,386,592567640
277194,811,1382742405
276935,363,521187989
276935,745,1205774877
277070,344,624890832
276808,398,759348533
276318,5,3325473
276318,96,169775392
276525,996,1698434348
276525,2397,4107440862
276525,2403,4117518091
276525,2465,4214770415
276318,410,706139474
276776,773,1333697604
277076,586,981358735
277096,222,414702892
277096,531,934076224
276831,1959,3558308536
277168,101,180395706
277168,698,1311561962
277168,355,656827155
277096,1094,1942629678
277194,199,241713716
277166,113,77119267
276870,410,647968470
276870,1939,3501272046
277094,307,538221171
277096,121,229107146
